paper,section,original_url,normalized_url,domain,extension,is_data_extension
1907.07374v5.pdf,body,https://distill.pub/2018/building-blocks/,https://distill.pub/2018/building-blocks,distill.pub,,False
1907.07374v5.pdf,note,http://www.heatmapping.org/slides/2018,http://heatmapping.org/slides/2018,heatmapping.org,,False
1907.07374v5.pdf,note,https://cs.stanford,https://cs.stanford,cs.stanford,,False
1908.04515v1.pdf,doi,10.1364/optica.XX.XXXXXX,https://doi.org/10.1364/optica.XX.XXXXXX,doi.org,.xxxxxx,False
2101.00027v1.pdf,target,https://pile.eleuther.ai/,https://pile.eleuther.ai/,pile.eleuther.ai,,False
2101.00027v1.pdf,target,https://archiveofourown.org/,https://archiveofourown.org/,archiveofourown.org,,False
2101.00027v1.pdf,target,https://github.com/SpamScope/mail-parser,https://github.com/SpamScope/mail-parser,github.com,,False
2101.00027v1.pdf,target,https://www.google.com/recaptcha/api.js?render=,https://google.com/recaptcha/api.js?render=,google.com,.js,False
2101.00027v1.pdf,target,http://Skylion007.github.io/OpenWebTextCorpus,http://skylion007.github.io/OpenWebTextCorpus,skylion007.github.io,,False
2101.00027v1.pdf,target,https://github.com/BIGBALLON/cifar-10-cnn,https://github.com/BIGBALLON/cifar-10-cnn,github.com,,False
2101.00027v1.pdf,target,http://arXiv.org/abs/cs/0205028,http://arxiv.org/abs/cs/0205028,arxiv.org,,False
2101.00027v1.pdf,target,https://twitter.com/theshawwn/status/1320282149329784833,https://twitter.com/theshawwn/status/1320282149329784833,twitter.com,,False
2101.00027v1.pdf,doi,10.5281/zenodo.2591652,https://doi.org/10.5281/zenodo.2591652,doi.org,.2591652,False
2101.00027v1.pdf,body,www.fanfiction.net,https://fanfiction.net,fanfiction.net,,False
2101.00027v1.pdf,body,https://github.com/SpamScope/,https://github.com/SpamScope,github.com,,False
2101.00027v1.pdf,body,https://www.google.com/recaptcha/api.js?render=*site,https://google.com/recaptcha/api.js?render=%2Asite,google.com,.js,False
2101.00027v1.pdf,body,https://arxiv.org/help/,https://arxiv.org/help,arxiv.org,,False
2101.00027v1.pdf,body,https://launchpad.net/bugs/1627643,https://launchpad.net/bugs/1627643,launchpad.net,,False
2101.00027v1.pdf,body,https://github.com/EleutherAI/,https://github.com/EleutherAI,github.com,,False
2101.00027v1.pdf,body,https://www.courtlistener.com/,https://courtlistener.com/,courtlistener.com,,False
2101.00027v1.pdf,body,https://archive.org/details/,https://archive.org/details,archive.org,,False
2101.00027v1.pdf,body,https://bulkdata.uspto.gov/,https://bulkdata.uspto.gov/,bulkdata.uspto.gov,,False
2101.00027v1.pdf,body,https://irclogs.ubuntu.com/,https://irclogs.ubuntu.com/,irclogs.ubuntu.com,,False
2101.00027v1.pdf,body,https://philpapers.org/,https://philpapers.org/,philpapers.org,,False
2101.00027v1.pdf,body,https://exporter.nih.gov/,https://exporter.nih.gov/,exporter.nih.gov,,False
2101.00027v1.pdf,body,https://news.ycombinator.com,https://news.ycombinator.com,news.ycombinator.com,,False
2101.00027v1.pdf,body,http://data.statmt,http://data.statmt,data.statmt,,False
2101.00027v1.pdf,body,https://www.tensorflow.org/datasets/,https://tensorflow.org/datasets,tensorflow.org,,False
2101.00027v1.pdf,body,https://arxiv.org/help/bulk_data_s3,https://arxiv.org/help/bulk_data_s3,arxiv.org,,False
2101.00027v1.pdf,body,https://www.courtlistener.com/api/,https://courtlistener.com/api,courtlistener.com,,False
2101.00027v1.pdf,body,http://www.statmt.org/europarl/,http://statmt.org/europarl,statmt.org,,False
2101.00027v1.pdf,body,https://github.com/jdepoix/,https://github.com/jdepoix,github.com,,False
2101.00027v1.pdf,body,https://github.com/vphill/,https://github.com/vphill,github.com,,False
2101.00027v1.pdf,body,https://github.com/sdtblck/PDFextract,https://github.com/sdtblck/PDFextract,github.com,,False
2101.00027v1.pdf,body,https://github.com/ekzhu/datasketch,https://github.com/ekzhu/datasketch,github.com,,False
2101.00027v1.pdf,note,http://Skylion007.github.io/,http://skylion007.github.io/,skylion007.github.io,,False
2101.00027v1.pdf,note,https://github.com/BIGBALLON/,https://github.com/BIGBALLON,github.com,,False
2105.03011v1.pdf,doi,10.18653/v1/2020.findings-emnlp.66,https://doi.org/10.18653/v1/2020.findings-emnlp.66,doi.org,.66,False
2105.03011v1.pdf,doi,10.18653/v1/D18-1241,https://doi.org/10.18653/v1/D18-1241,doi.org,,False
2105.03011v1.pdf,doi,10.1162/tacl_a_00317,https://doi.org/10.1162/tacl_a_00317,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/D19-1606,https://doi.org/10.18653/v1/D19-1606,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/N19-1423,https://doi.org/10.18653/v1/N19-1423,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/N19-1246,https://doi.org/10.18653/v1/N19-1246,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/2020.emnlp-main.86,https://doi.org/10.18653/v1/2020.emnlp-main.86,doi.org,.86,False
2105.03011v1.pdf,doi,10.18653/v1/P18-1031,https://doi.org/10.18653/v1/P18-1031,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/D19-1259,https://doi.org/10.18653/v1/D19-1259,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/P17-1147,https://doi.org/10.18653/v1/P17-1147,doi.org,,False
2105.03011v1.pdf,doi,10.18653/v1/2020.findings-emnlp.171,https://doi.org/10.18653/v1/2020.findings-emnlp.171,doi.org,.171,False
2105.03011v1.pdf,doi,10.1162/tacl_a_00023,https://doi.org/10.1162/tacl_a_00023,doi.org,,False
2105.03011v1.pdf,doi,10.1162/tacl_a_00276,https://doi.org/10.1162/tacl_a_00276,doi.org,,False
