paper,section,link
2101.00027v1.pdf,reference,https://github.com/BIGBALLON/cifar-10-cnn
2101.00027v1.pdf,reference,http://arXiv.org/abs/cs/0205028
2101.00027v1.pdf,reference,https://twitter.com/theshawwn/status/1320282149329784833
2101.00027v1.pdf,doi,https://doi.org/10.5281/zenodo.2591652
2101.00027v1.pdf,body,https://pile.eleuther.ai/versity
2101.00027v1.pdf,body,https://www.fanfiction.net
2101.00027v1.pdf,body,https://www
2101.00027v1.pdf,body,https://www.google.com/recaptcha/api.js?render=*site
2101.00027v1.pdf,body,https://arxiv.org/help/stats/2019_by_area/
2101.00027v1.pdf,body,https://launchpad.net/bugs/1627643
2101.00027v1.pdf,body,https://github.com/EleutherAI/the-pile
2101.00027v1.pdf,body,https://www.courtlistener.com/
2101.00027v1.pdf,body,https://archive.org/details/stackexchange
2101.00027v1.pdf,body,https://bulkdata.uspto.gov/
2101.00027v1.pdf,body,https://irclogs.ubuntu.com/
2101.00027v1.pdf,body,https://philpapers.org/
2101.00027v1.pdf,body,https://exporter.nih.gov/
2101.00027v1.pdf,body,https://news.ycombinator.com
2101.00027v1.pdf,body,http://data.statmt.org/cc-100/
2101.00027v1.pdf,body,https://www.tensorflow.org/datasets/catalog/c4
2101.00027v1.pdf,body,https://arxiv.org/help/bulk_data_s3
2101.00027v1.pdf,body,https://www.courtlistener.com/api/bulk-info/
2101.00027v1.pdf,body,https://www.tensorflow.org/datasets/catalog/wikipedia#wikipedia20200301enC.15
2101.00027v1.pdf,body,https://www.statmt.org/europarl/
2101.00027v1.pdf,body,https://github.com/jdepoix/youtube-transcript-api
2101.00027v1.pdf,body,https://github.com/vphill/pyoaiharvester/
2101.00027v1.pdf,body,https://github.com/sdtblck/PDFextract
2101.00027v1.pdf,body,https://github.com/ekzhu/datasketch
2101.00027v1.pdf,note,http://Skylion007.github.io/OpenWebTextCorpus.Authors
2101.00027v1.pdf,reference,https://github.com/BIGBALLON/cifar-10-cnn.Europarl
2101.00027v1.pdf,reference,http://arXiv.org/abs/cs/0205028.Pandoc
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/2020.findings-emnlp.66
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/D18-1241
2105.03011v1.pdf,doi,https://doi.org/10.1162/tacl_a_00317
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/D19-1606
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/N19-1423
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/N19-1246
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/2020.emnlp-main.86
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/P18-1031
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/D19-1259
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/P17-1147
2105.03011v1.pdf,doi,https://doi.org/10.18653/v1/2020.findings-emnlp.171
2105.03011v1.pdf,doi,https://doi.org/10.1162/tacl_a_00023
2105.03011v1.pdf,doi,https://doi.org/10.1162/tacl_a_00276
